Ano da Produção,Título da Produção,Tipo da Produção,Subtipo da Produção,Author 1,Categoria Author 1,Author 2,Categoria Author 2
2014,AN APPLICATION OF MULTIPLE SPACE NEAREST NEIGHBOR CLASSIFIER IN LAND COVER CLASSIFICATION,BIBLIOGRÁFICA,TRABALHO EM ANAIS,MARIANE SOUZA REIS,Participante Externo,ELIANA PANTALEAO,Participante Externo
2014,AN APPLICATION OF MULTIPLE SPACE NEAREST NEIGHBOR CLASSIFIER IN LAND COVER CLASSIFICATION,BIBLIOGRÁFICA,TRABALHO EM ANAIS,MARIANE SOUZA REIS,Participante Externo,LUCIANO VIEIRA DUTRA,Docente
2014,AN APPLICATION OF MULTIPLE SPACE NEAREST NEIGHBOR CLASSIFIER IN LAND COVER CLASSIFICATION,BIBLIOGRÁFICA,TRABALHO EM ANAIS,MARIANE SOUZA REIS,Participante Externo,SANDRA APARECIDA SANDRI,Docente
2014,AN APPLICATION OF MULTIPLE SPACE NEAREST NEIGHBOR CLASSIFIER IN LAND COVER CLASSIFICATION,BIBLIOGRÁFICA,TRABALHO EM ANAIS,ELIANA PANTALEAO,Participante Externo,LUCIANO VIEIRA DUTRA,Docente
2014,AN APPLICATION OF MULTIPLE SPACE NEAREST NEIGHBOR CLASSIFIER IN LAND COVER CLASSIFICATION,BIBLIOGRÁFICA,TRABALHO EM ANAIS,ELIANA PANTALEAO,Participante Externo,SANDRA APARECIDA SANDRI,Docente
2014,AN APPLICATION OF MULTIPLE SPACE NEAREST NEIGHBOR CLASSIFIER IN LAND COVER CLASSIFICATION,BIBLIOGRÁFICA,TRABALHO EM ANAIS,LUCIANO VIEIRA DUTRA,Docente,SANDRA APARECIDA SANDRI,Docente
2014,AN APPROACH FOR MAPPING DOMAIN-SPECIFIC AOM APPLICATIONS TO A GENERAL MODEL,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,PATRICIA MEGUMI MATSUMOTO,Participante Externo,EDUARDO MARTINS GUERRA,Docente
2014,AN EVOLUTIONARY CLUSTERING SEARCH FOR THE NO-WAIT FLOW SHOP PROBLEM WITH SEQUENCE DEPENDENT SETUP TIMES,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,MARCELO SEIDO NAGANO,Participante Externo,AUGUSTO ALMEIDA DA SILVA,Participante Externo
2014,AN EVOLUTIONARY CLUSTERING SEARCH FOR THE NO-WAIT FLOW SHOP PROBLEM WITH SEQUENCE DEPENDENT SETUP TIMES,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,MARCELO SEIDO NAGANO,Participante Externo,LUIZ ANTONIO NOGUEIRA LORENA,Docente
2014,AN EVOLUTIONARY CLUSTERING SEARCH FOR THE NO-WAIT FLOW SHOP PROBLEM WITH SEQUENCE DEPENDENT SETUP TIMES,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,AUGUSTO ALMEIDA DA SILVA,Participante Externo,LUIZ ANTONIO NOGUEIRA LORENA,Docente
2014,AN INNOVATIVE APPROACH FOR ATTRIBUTE REDUCTION IN ROUGH SET THEORY,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,ALEX SANDRO AGUIAR PESSOA,Discente - Doutorado,STEPHAN STEPHANY,Docente
2014,AN INNOVATIVE SUPPORT VECTOR MACHINE BASED METHOD FOR CONTEXTUAL IMAGE CLASSIFICATION,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,ROGERIO GALANTE NEGRI,Participante Externo,LUCIANO VIEIRA DUTRA,Docente
2014,AN INNOVATIVE SUPPORT VECTOR MACHINE BASED METHOD FOR CONTEXTUAL IMAGE CLASSIFICATION,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,ROGERIO GALANTE NEGRI,Participante Externo,SIDNEI JOAO SIQUEIRA SANT ANNA,Docente
2014,AN INNOVATIVE SUPPORT VECTOR MACHINE BASED METHOD FOR CONTEXTUAL IMAGE CLASSIFICATION,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,LUCIANO VIEIRA DUTRA,Docente,SIDNEI JOAO SIQUEIRA SANT ANNA,Docente
2014,AN OBJECT-BASED VISUAL SELECTION MODEL COMBINING PHYSICAL FEATURES AND MEMORY,BIBLIOGRÁFICA,TRABALHO EM ANAIS,ALCIDES XAVIER BENICASA,Participante Externo,MARCOS GONCALVES QUILES,Docente
2014,AN OBJECT-BASED VISUAL SELECTION MODEL COMBINING PHYSICAL FEATURES AND MEMORY,BIBLIOGRÁFICA,TRABALHO EM ANAIS,ALCIDES XAVIER BENICASA,Participante Externo,THIAGO CHRISTIANO SILVA,Participante Externo
2014,AN OBJECT-BASED VISUAL SELECTION MODEL COMBINING PHYSICAL FEATURES AND MEMORY,BIBLIOGRÁFICA,TRABALHO EM ANAIS,ALCIDES XAVIER BENICASA,Participante Externo,ZHAO LIANG,Participante Externo
2014,AN OBJECT-BASED VISUAL SELECTION MODEL COMBINING PHYSICAL FEATURES AND MEMORY,BIBLIOGRÁFICA,TRABALHO EM ANAIS,ALCIDES XAVIER BENICASA,Participante Externo,ROSELI APARECIDA FRANCELIN ROMERO,Participante Externo
2014,AN OBJECT-BASED VISUAL SELECTION MODEL COMBINING PHYSICAL FEATURES AND MEMORY,BIBLIOGRÁFICA,TRABALHO EM ANAIS,MARCOS GONCALVES QUILES,Docente,THIAGO CHRISTIANO SILVA,Participante Externo
2014,AN OBJECT-BASED VISUAL SELECTION MODEL COMBINING PHYSICAL FEATURES AND MEMORY,BIBLIOGRÁFICA,TRABALHO EM ANAIS,MARCOS GONCALVES QUILES,Docente,ZHAO LIANG,Participante Externo
2014,AN OBJECT-BASED VISUAL SELECTION MODEL COMBINING PHYSICAL FEATURES AND MEMORY,BIBLIOGRÁFICA,TRABALHO EM ANAIS,MARCOS GONCALVES QUILES,Docente,ROSELI APARECIDA FRANCELIN ROMERO,Participante Externo
2014,AN OBJECT-BASED VISUAL SELECTION MODEL COMBINING PHYSICAL FEATURES AND MEMORY,BIBLIOGRÁFICA,TRABALHO EM ANAIS,THIAGO CHRISTIANO SILVA,Participante Externo,ZHAO LIANG,Participante Externo
2014,AN OBJECT-BASED VISUAL SELECTION MODEL COMBINING PHYSICAL FEATURES AND MEMORY,BIBLIOGRÁFICA,TRABALHO EM ANAIS,THIAGO CHRISTIANO SILVA,Participante Externo,ROSELI APARECIDA FRANCELIN ROMERO,Participante Externo
