Ano da Produção,Título da Produção,Tipo da Produção,Subtipo da Produção,Docente,Egresso,Participante Externo,Pós-Doc,Sem Categoria,Discente,Sem categoria
2014,STUDY OF BRAZILIAN EXTREME METEOROLOGICAL EVENTS,BIBLIOGRÁFICA,TRABALHO EM ANAIS,2,0,2,0.0,0.0,0,0.0
2014,STUDY OF LOCAL REGULARITIES IN SOLAR WIND DATA AND GROUND MAGNETOGRAMS,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,1,0,4,0.0,0.0,0,0.0
2014,SUPPORT FOR REFACTORING AN APPLICATION TOWARDS AN ADAPTIVE OBJECT MODEL,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,1,0,0,0.0,0.0,0,0.0
2014,SYNCHRONIZATION OF OSCILLATORS IN A KURAMOTO-TYPE MODEL WITH GENERIC COUPLING,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,1,0,2,0.0,0.0,0,0.0
2014,TEN YEARS OF SKYSERVER I: TRACKING WEB AND SQL E-SCIENCE USAGE,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,1,0,0,0.0,3.0,0,0.0
2014,TEN YEARS OF SKYSERVER II: HOW ASTRONOMERS AND THE PUBLIC HAVE EMBRACED E-SCIENCE,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,1,0,2,0.0,1.0,0,0.0
2014,TERRA PROJECT PRESENTATION TO THE CENTRE NATIONAL D'ÉTUDES SPATIALES (CNES),TÉCNICA,APRESENTAÇÃO DE TRABALHO,1,0,0,0.0,0.0,0,0.0
2014,TERRA PROJECT PRESENTATION TO THE DEUTSCHES ZENTRUM FÜR LUFT- UND RAUMFAHRT - DLR OFFICE IN PARIS,TÉCNICA,APRESENTAÇÃO DE TRABALHO,1,0,0,0.0,0.0,0,0.0
2014,THE 14TH INTERNATIONAL CONFERENCE ON COMPUTATIONAL SCIENCE AND ITS APPLICATIONS,TÉCNICA,ORGANIZAÇÃO DE EVENTO,1,0,0,0.0,0.0,0,0.0
2014,THE FAULT DIAGNOSIS INVERSE PROBLEM WITH ANT COLONY OPTIMIZATION AND ANT COLONY OPTIMIZATION WITH DISPERSION,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,1,0,0,0.0,0.0,0,0.0
2014,THE ONE-DIMENSIONAL CUTTING STOCK PROBLEM WITH USABLE LEFTOVERS - A SURVEY,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,1,0,4,0.0,0.0,0,0.0
2014,THE ROLES OF TEXTURAL IMAGES IN IMPROVING LAND-COVER CLASSIFICATION IN THE BRAZILIAN AMAZON,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,1,0,0,0.0,0.0,0,0.0
2014,TOOLS AND TECHNIQUES FOR VIRTUAL LABORATORIES - 10TH IEEE INTERNATIONAL CONFERENCE ON E-SCIENCE,TÉCNICA,ORGANIZAÇÃO DE EVENTO,1,0,0,0.0,0.0,0,0.0
2014,TOPOLOGY PRESERVING MAPPING FOR MARITIME ANOMALY DETECTION,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,2,0,0,0.0,2.0,0,0.0
